from_tier,to_tier,moves
Outside the industry · other,Data Center Developer / Operator,338
Data Center Developer / Operator,Data Center Developer / Operator,221
Outside the industry · other,Hyperscaler,137
Hyperscaler,Data Center Developer / Operator,105
Outside the industry · other,General contractor,83
General contractor,General contractor,55
General contractor,Data Center Developer / Operator,51
Hyperscaler,Hyperscaler,40
Outside the industry · construction (untracked),General contractor,39
Outside the industry · telecom & network,Data Center Developer / Operator,36
Outside the industry · brokerage & advisory,Data Center Developer / Operator,31
Outside the industry · finance & investment,Data Center Developer / Operator,27
Outside the industry · data centers (untracked operator),Data Center Developer / Operator,26
Outside the industry · other,NeoCloud / AI Infra,25
Data Center Developer / Operator,Hyperscaler,24
Data Center Developer / Operator,NeoCloud / AI Infra,23
Outside the industry · energy & utilities (untracked),Data Center Developer / Operator,22
Investor,Data Center Developer / Operator,19
Outside the industry · consultancy & engineering,Hyperscaler,18
Outside the industry · construction (untracked),Data Center Developer / Operator,16
Outside the industry · consultancy & engineering,General contractor,16
Outside the industry · brokerage & advisory,Hyperscaler,15
Energy developer / utility,Data Center Developer / Operator,12
General contractor,Hyperscaler,12
Outside the industry · technology,Hyperscaler,10
Outside the industry · energy & utilities (untracked),Hyperscaler,10
Outside the industry · technology,Data Center Developer / Operator,10
Civil / land engineering,Data Center Developer / Operator,9
Outside the industry · consultancy & engineering,Data Center Developer / Operator,9
Outside the industry · finance & investment,Hyperscaler,8
Civil / land engineering,Hyperscaler,8
Energy developer / utility,Hyperscaler,6
Civil / land engineering,General contractor,6
Real estate & industrial developer,Data Center Developer / Operator,6
Investor,Hyperscaler,5
NeoCloud / AI Infra,Data Center Developer / Operator,5
Real estate & industrial developer,Hyperscaler,4
General contractor,NeoCloud / AI Infra,4
Hyperscaler,NeoCloud / AI Infra,4
Outside the industry · telecom & network,Hyperscaler,3
Investor,NeoCloud / AI Infra,2
Energy developer / utility,NeoCloud / AI Infra,2
Real estate & industrial developer,General contractor,2
Hyperscaler,General contractor,2
Outside the industry · government & military,Data Center Developer / Operator,2
Data Center Developer / Operator,General contractor,1
General contractor,Energy developer / utility,1
Outside the industry · other,Real estate & industrial developer,1
Energy developer / utility,General contractor,1
Outside the industry · brokerage & advisory,NeoCloud / AI Infra,1
Outside the industry · technology,General contractor,1
Outside the industry · government & military,Hyperscaler,1
Outside the industry · finance & investment,Civil / land engineering,1
Outside the industry · data centers (untracked operator),Hyperscaler,1
Outside the industry · construction (untracked),Hyperscaler,1
Outside the industry · other,Civil / land engineering,1
Outside the industry · telecom & network,Civil / land engineering,1
Outside the industry · finance & investment,General contractor,1
Outside the industry · brokerage & advisory,General contractor,1
Outside the industry · construction (untracked),Real estate & industrial developer,1
Outside the industry · construction (untracked),Civil / land engineering,1
Outside the industry · government & military,General contractor,1
Outside the industry · energy & utilities (untracked),NeoCloud / AI Infra,1
